Coach,From,To,Last School,Yrs,G,W,L,T,Pct,G(bowls),W(bowls),L(bowls),T(bowls),Pct(bowls)
Rick Stockstill,2006,2019,Middle Tennessee State,14,177,91,86,0,0.514,8,2,6,0,0.25
Nelson Stokley,1986,1998,Louisiana,13,143,62,80,1,0.437,0,0,0,0,
Cal Stoll,1969,1978,Minnesota,10,110,54,56,0,0.491,1,0,1,0,0
Dennis Stolz,1973,1988,San Diego State,15,170,91,77,2,0.541,3,0,3,0,0
Alex Stone,1910,1910,Tennessee,1,9,3,5,1,0.389,0,0,0,0,
John Stone,1908,1908,Clemson,1,7,1,6,0,0.143,0,0,0,0,
Bob Stoops,1999,2016,Oklahoma,18,238,190,48,0,0.798,18,9,9,0,0.5
Mark Stoops,2013,2019,Kentucky,7,88,44,44,0,0.5,4,2,2,0,0.5
Mike Stoops,2004,2011,Arizona,8,91,41,50,0,0.451,3,1,2,0,0.333
William Story,1946,1947,Davidson,2,19,10,8,1,0.553,0,0,0,0,
Jeff Stoutland,2010,2010,Miami (FL),1,1,0,1,0,0,1,0,1,0,0
Jerry Stovall,1980,1983,Louisiana State,4,45,22,21,2,0.511,1,0,1,0,0
Red Strader,1940,1941,Saint Mary's (CA),2,17,10,7,0,0.588,0,0,0,0,
Leo Strang,1964,1967,Kent State,4,39,17,20,2,0.462,0,0,0,0,
Jim Strangeland,1969,1973,Long Beach State,5,57,31,24,2,0.561,1,0,0,1,0.5
Steve Stripling,2009,2012,Cincinnati,2,2,2,0,0,1,2,2,0,0,1
Don Strock,2004,2006,Florida International,3,33,8,25,0,0.242,0,0,0,0,
Charlie Strong,2004,2019,South Florida,11,127,74,53,0,0.583,8,4,4,0,0.5
Jim Strong,1990,1993,Nevada-Las Vegas,4,44,17,27,0,0.386,0,0,0,0,
Stuart,1910,1911,Colorado Mines,2,13,4,9,0,0.308,0,0,0,0,
Abe Stuber,1947,1953,Iowa State,7,65,24,38,3,0.392,0,0,0,0,
Charles Studley,1961,1966,Cincinnati,6,60,27,33,0,0.45,0,0,0,0,
Harry Stuhldreher,1930,1948,Wisconsin,19,169,78,80,11,0.494,0,0,0,0,
Bob Stull,1986,1993,Missouri,8,91,36,53,2,0.407,1,0,1,0,0
L.C. Sullivan,1919,1920,Newberry,2,15,2,11,2,0.2,0,0,0,0,
Pat Sullivan,1992,1997,Texas Christian,6,67,24,42,1,0.366,1,0,1,0,0
R.L. Sullivan,1919,1921,Mississippi,2,17,7,10,0,0.412,0,0,0,0,
Kevin Sumlin,2008,2019,Arizona,12,153,95,58,0,0.621,7,4,3,0,0.571
Tyson Summers,2016,2017,Georgia Southern,2,18,5,13,0,0.278,0,0,0,0,
Sal Sunseri,1992,1992,Pittsburgh,1,1,0,1,0,0,0,0,0,0,
Jim Sutherland,1956,1963,Washington State,8,80,37,39,4,0.488,0,0,0,0,
Jock Sutherland,1919,1938,Pittsburgh,20,186,144,28,14,0.812,4,1,3,0,0.25
Herman Sutter,1902,1902,Georgetown,1,10,7,3,0,0.7,0,0,0,0,
Bob Sutton,1991,1999,Army,9,100,44,55,1,0.445,1,0,1,0,0
Stanley Sutton,1920,1920,Virginia Tech,1,10,4,6,0,0.4,0,0,0,0,
Wayne Sutton,1917,1917,Louisiana State,1,8,3,5,0,0.375,0,0,0,0,
Fred Swan,1939,1939,Temple,1,9,2,7,0,0.222,0,0,0,0,
Joseph Swan,1902,1902,Yale,1,12,11,0,1,0.958,0,0,0,0,
Jim Sweeney,1968,1996,Fresno State,27,307,169,134,4,0.557,7,5,2,0,0.714
Edwin Sweetland,1904,1914,Tulane,4,34,16,15,3,0.515,0,0,0,0,
Dabo Swinney,2008,2019,Clemson,12,161,130,31,0,0.807,16,10,6,0,0.625
Barry Switzer,1973,1988,Oklahoma,16,190,157,29,4,0.837,13,8,5,0,0.615
John Symank,1971,1973,Texas-Arlington,3,32,11,21,0,0.344,0,0,0,0,
Willie Taggart,2010,2019,Florida State,10,118,56,62,0,0.475,1,0,1,0,0
Jim Tait,1974,1979,Richmond,6,65,21,44,0,0.323,0,0,0,0,
Trusty Tallman,1934,1936,West Virginia,3,29,15,12,2,0.552,0,0,0,0,
Augie Tammariello,1974,1979,Louisiana,6,67,30,35,2,0.463,0,0,0,0,
J. Wilder Tasker,1923,1925,William & Mary,3,30,20,9,1,0.683,0,0,0,0,
Al Tassi,1942,1943,San Francisco,2,18,7,11,0,0.389,0,0,0,0,
Charlie Tate,1964,1970,Miami (FL),7,64,34,27,3,0.555,2,1,1,0,0.5
William Tate,1964,1968,Wake Forest,5,50,17,32,1,0.35,0,0,0,0,
Jim Tatum,1942,1958,Maryland,14,142,100,35,7,0.729,6,3,2,1,0.583
Chuck Taylor,1951,1957,Stanford,7,71,40,29,2,0.577,1,0,1,0,0
Fred Taylor,1967,1970,Texas Christian,4,41,15,25,1,0.378,0,0,0,0,
Kip Taylor,1949,1954,Oregon State,6,56,20,36,0,0.357,0,0,0,0,
Grant Teaff,1972,1992,Baylor,21,239,128,105,6,0.548,8,4,4,0,0.5
Eddie Teague,1957,1965,Citadel,9,91,45,44,2,0.505,1,1,0,0,1
Gus Tebell,1925,1936,Virginia,8,76,27,43,6,0.395,0,0,0,0,
Jeff Tedford,2002,2019,Fresno State,14,179,108,71,0,0.603,10,7,3,0,0.7
Buddy Teevens,1992,2004,Stanford,8,89,20,69,0,0.225,0,0,0,0,
Jon Tenuta,2007,2007,Georgia Tech,1,1,0,1,0,0,1,0,1,0,0
Lou Tepper,1991,1996,Illinois,6,58,25,31,2,0.448,3,1,2,0,0.333
Ralph Thacker,1913,1914,Wyoming,2,11,1,10,0,0.091,0,0,0,0,
Bob Thalman,1971,1981,Virginia Military Institute,11,119,46,70,3,0.399,0,0,0,0,
Roger Theder,1978,1981,California,4,45,17,28,0,0.378,1,0,1,0,0
Glenn Thistlethwaite,1922,1941,Richmond,18,160,88,59,13,0.591,0,0,0,0,
Frank Thomas,1931,1946,Alabama,15,146,115,24,7,0.812,6,4,2,0,0.667
Jack Thomas,1962,1962,Hardin-Simmons,1,10,1,9,0,0.1,0,0,0,0,
Frank Thompson,1911,1913,Wake Forest,3,24,5,19,0,0.208,0,0,0,0,
H. Thompson,1898,1899,Lehigh,2,21,5,15,1,0.262,0,0,0,0,
John Thompson,2003,2013,Arkansas State,4,25,5,20,0,0.2,2,2,0,0,1
Joseph Thompson,1908,1912,Pittsburgh,5,46,30,14,2,0.674,0,0,0,0,
T. Thompson,1894,1894,Union (NY),1,7,3,4,0,0.429,0,0,0,0,
Chris Thomsen,2012,2012,Texas Tech,1,1,1,0,0,1,1,1,0,0,1
Fred Thomsen,1929,1941,Arkansas,13,127,56,61,10,0.48,1,0,0,1,0.5
Samuel Thorne,1896,1896,Yale,1,14,13,1,0,0.929,0,0,0,0,
Tiny Thornhill,1933,1939,Stanford,7,67,35,25,7,0.575,3,1,2,0,0.333
Chris Thurmond,2007,2007,Houston,1,1,0,1,0,0,1,,1,,
J.J. Tigert,1915,1916,Kentucky,2,15,10,2,3,0.767,0,0,0,0,
Ken Tillage,1977,1977,Southern,1,4,0,4,0,0,0,0,0,0,
Joe Tiller,1991,2008,Purdue,18,219,126,92,1,0.578,11,4,7,0,0.364
Pete Tillman,1955,1956,Wichita State,2,20,11,8,1,0.575,0,0,0,0,
S.D. Tilson,1942,1942,Virginia Tech,1,10,7,2,1,0.75,0,0,0,0,
Tex Tilson,1933,1940,Washington & Lee,8,73,31,36,6,0.466,0,0,0,0,
Gaynell Tinsley,1948,1954,Louisiana State,7,75,35,34,6,0.507,1,0,1,0,0
E.M. Tipton,1918,1918,Texas Christian,1,7,4,3,0,0.571,0,0,0,0,
Jeff Tisdel,1996,1999,Nevada,4,45,23,22,0,0.511,1,1,0,0,1
Robert Titchenal,1953,1964,San Jose State,11,108,45,61,2,0.426,0,0,0,0,
Billy Tohill,1971,1973,Texas Christian,3,26,11,15,0,0.423,0,0,0,0,
Bob Toledo,1979,2011,Tulane,16,180,78,102,0,0.433,3,1,2,0,0.333
Russell Tollefson,1919,1919,Grinnell,1,6,1,4,1,0.25,0,0,0,0,
Rick Tolley,1969,1970,Marshall,2,19,6,13,0,0.316,0,0,0,0,
Ted Tollner,1983,2001,San Diego State,12,138,69,68,1,0.504,4,1,3,0,0.25
Dick Tomey,1977,2009,San Jose State,29,335,183,145,7,0.557,8,5,3,0,0.625
John Tomlin,1943,1943,Arkansas,1,9,2,7,0,0.222,0,0,0,0,
Carl Torbush,1997,2000,North Carolina,4,35,17,18,0,0.486,2,2,0,0,1
Chris Tormey,1996,2003,Nevada,8,92,43,49,0,0.467,1,1,0,0,1
Dick Towers,1973,1973,Southern Illinois,1,11,3,7,1,0.318,0,0,0,0,
Gary Tranquill,1982,1986,Navy,5,55,20,34,1,0.373,0,0,0,0,
Paul Tratt,1901,1901,Grinnell,1,9,7,1,1,0.833,0,0,0,0,
Don Treadwell,2011,2013,Miami (OH),3,29,8,21,0,0.276,0,0,0,0,
T.C. Trenchard,1913,1915,North Carolina,3,28,19,8,1,0.696,0,0,0,0,
Jim Tressel,2001,2010,Ohio State,10,128,106,22,0,0.828,10,6,4,0,0.6
Jim Trimble,1948,1950,Wichita State,3,30,13,14,3,0.483,1,0,1,0,0
Frank Tritico,1944,1944,Randolph Field,1,12,12,0,0,1,0,0,0,0,
Eddy Troxel,1974,1974,Idaho,1,11,2,8,1,0.227,0,0,0,0,
Irl Tubbs,1936,1938,Iowa,3,26,8,15,3,0.365,0,0,0,0,
Tommy Tuberville,1995,2016,Cincinnati,21,258,159,99,0,0.616,13,7,6,0,0.538
Mel Tucker,2019,2019,Colorado,1,12,5,7,0,0.417,0,0,0,0,
Marques Tuiasosopo,2013,2013,Washington,1,1,1,0,0,1,1,1,0,0,1
L.C. Turner,1907,1907,Purdue,1,5,0,5,0,0,0,0,0,0,
Ron Turner,1992,2016,Florida International,13,143,52,91,0,0.364,2,1,1,0,0.5
Alvin Twitchell,1922,1924,Brigham Young,3,19,5,13,1,0.289,0,0,0,0,
Bob Tyler,1973,1981,North Texas,7,78,41,34,3,0.545,1,1,0,0,1
P.W. Underwood,1969,1974,Southern Mississippi,6,65,31,32,2,0.492,0,0,0,0,
J.D. Upton,1897,1898,Tufts,2,23,7,16,0,0.304,0,0,0,0,
Doc Urich,1966,1970,Northern Illinois,5,50,24,26,0,0.48,0,0,0,0,
Elliot Uzelac,1975,1989,Navy,10,110,46,64,0,0.418,0,0,0,0,
Louis Vail,1894,1894,Illinois,1,8,5,3,0,0.625,0,0,0,0,
James Valek,1967,1970,Illinois,4,40,8,32,0,0.2,0,0,0,0,
Bob Valesente,1986,1987,Kansas,2,22,4,17,1,0.205,0,0,0,0,
Arthur Valpey,1948,1949,Harvard,2,17,5,12,0,0.294,0,0,0,0,
Jesse Van Doozer,1897,1897,Northwestern,1,8,5,3,0,0.625,0,0,0,0,
J.A. Van Fleet,1923,1924,Florida,2,19,12,3,4,0.737,0,0,0,0,
Conrad Van Gent,1916,1921,Stanford,2,17,11,4,2,0.706,0,0,0,0,
John Van Liew,1927,1930,North Carolina State,2,17,3,14,0,0.176,0,0,0,0,
Henderson Van Surdam,1908,1908,Sewanee,1,8,4,1,3,0.688,0,0,0,0,
W.T. VandeGraaff,1926,1937,Colorado College,12,94,46,43,5,0.516,0,0,0,0,
Ron Vanderlinden,1997,2000,Maryland,4,44,15,29,0,0.341,0,0,0,0,
Pie Vann,1963,1968,Southern Mississippi,6,56,34,21,1,0.616,0,0,0,0,
Harry Varner,1915,1915,Virginia,1,9,8,1,0,0.889,0,0,0,0,
John Vaught,1947,1973,Mississippi,25,263,190,61,12,0.745,18,10,8,0,0.556
George Veenker,1931,1936,Iowa State,6,51,21,22,8,0.49,0,0,0,0,
Rick Venturi,1978,1980,Northwestern,3,33,1,31,1,0.045,0,0,0,0,
Joe Verducci,1943,1949,Saint Mary's (CA),4,35,15,16,4,0.486,0,0,0,0,
Dick Vermeil,1974,1975,UCLA,2,23,15,5,3,0.717,1,1,0,0,1
John Vesser,1944,1944,Idaho State,1,9,4,5,0,0.444,0,0,0,0,
Matt Viator,2016,2019,Louisiana-Monroe,4,48,19,29,0,0.396,0,0,0,0,
H.H. Vincent,1893,1894,Lafayette,2,19,7,12,0,0.368,0,0,0,0,
Robert Voigts,1947,1954,Northwestern,8,73,33,39,1,0.459,1,1,0,0,1
Fred Vonappen,1996,1998,Hawaii,3,36,5,31,0,0.139,0,0,0,0,
Richard Voris,1958,1960,Virginia,3,30,1,29,0,0.033,0,0,0,0,
Carl Voyles,1940,1947,Auburn,5,46,21,24,1,0.467,0,0,0,0,
Jim Wacker,1983,1996,Minnesota,14,155,56,97,2,0.368,1,0,1,0,0
Frank Wade,1899,1899,Syracuse,1,8,4,4,0,0.5,0,0,0,0,
Wallace Wade,1923,1950,Duke,24,230,171,49,10,0.765,5,2,2,1,0.5
E.O. Wagenhurst,1888,1891,Pennsylvania,4,56,38,18,0,0.679,0,0,0,0,
Bob Wagner,1987,1995,Hawaii,9,110,58,49,3,0.541,2,1,1,0,0.5
Julius Wagner,1942,1946,Colorado State,3,24,8,15,1,0.354,0,0,0,0,
Jim Walden,1978,1994,Iowa State,17,188,69,112,7,0.386,1,0,1,0,0
George Walder,1909,1909,Cornell,1,8,3,4,1,0.438,0,0,0,0,
Pappy Waldorf,1929,1956,California,28,265,157,89,19,0.628,3,0,3,0,0
D.C. Walker,1937,1950,Wake Forest,14,134,77,51,6,0.597,2,1,1,0,0.5
DeWayne Walker,2007,2012,New Mexico State,5,51,10,41,0,0.196,1,0,1,0,0
Ed Walker,1933,1937,Mississippi,5,55,28,21,6,0.564,1,0,1,0,0
Hilman Walker,1942,1942,Arizona State,1,10,2,8,0,0.2,0,0,0,0,
Randy Walker,1990,2005,Northwestern,16,182,95,82,5,0.536,3,0,3,0,0
Wade Walker,1956,1961,Mississippi State,6,56,22,32,2,0.411,0,0,0,0,
Bobby Wallace,1998,2005,Temple,8,90,19,71,0,0.211,0,0,0,0,
Dwight Wallace,1978,1984,Ball State,7,77,40,37,0,0.519,0,0,0,0,
Jack Wallace,1971,1976,Drake,6,67,23,43,1,0.351,0,0,0,0,
Bill Walsh,1977,1994,Stanford,5,59,34,24,1,0.585,3,3,0,0,1
Jerry Wampfler,1970,1972,Colorado State,3,33,8,25,0,0.242,0,0,0,0,
Dave Wannstedt,2005,2010,Pittsburgh,6,73,42,31,0,0.575,2,1,1,0,0.5
Brian Ward,2015,2015,Bowling Green State,1,1,0,1,0,0,1,0,1,0,0
Dallas Ward,1948,1958,Colorado,11,110,63,41,6,0.6,1,1,0,0,1
G.B. Ward,1904,1904,New Hampshire,1,7,2,5,0,0.286,0,0,0,0,
Lorenzo Ward,2018,2018,Louisville,1,2,0,2,0,0,0,0,0,0,
Robert Ward,1967,1968,Maryland,2,19,2,17,0,0.105,0,0,0,0,
William Ward,1896,1896,Michigan,1,10,9,1,0,0.9,0,0,0,0,
Murray Warmath,1952,1971,Minnesota,20,191,97,84,10,0.534,2,1,1,0,0.5
Pop Warner,1897,1938,Temple,42,446,311,103,32,0.733,4,1,2,1,0.375
William Warner,1905,1907,Colgate,3,25,12,9,4,0.56,0,0,0,0,
John Warren,1942,1942,Oregon,1,8,2,6,0,0.25,0,0,0,0,
Rice Warren,1916,1916,South Carolina,1,9,2,7,0,0.222,0,0,0,0,
W. Warren,1913,1921,Virginia,3,26,17,7,2,0.692,0,0,0,0,
Bill Wasmund,1910,1910,Texas,1,8,6,2,0,0.75,0,0,0,0,
Bob Waters,1977,1981,Western Carolina,5,55,25,28,2,0.473,0,0,0,0,
Frank Waters,1980,1982,Michigan State,3,33,10,23,0,0.303,0,0,0,0,
W.H. Watkins,1902,1902,Vanderbilt,1,9,8,1,0,0.889,0,0,0,0,
Jack Watson,1916,1917,Utah State,2,15,8,5,2,0.6,0,0,0,0,
Lester Watt,1927,1935,Grinnell,9,76,27,42,7,0.401,0,0,0,0,
Morris Watts,2002,2002,Michigan State,1,5,1,2,0,0.333,0,0,0,0,
R.N. Watts,1903,1903,Baylor,1,8,4,3,1,0.563,0,0,0,0,
Charlie Weatherbie,1992,2009,Louisiana-Monroe,17,191,76,115,0,0.398,2,2,0,0,1
Davis Weathersby,1977,1977,Mississippi Valley State,1,10,5,5,0,0.5,0,0,0,0,
DeWitt Weaver,1951,1960,Texas Tech,10,105,49,51,5,0.49,3,2,1,0,0.667
Doug Weaver,1960,1975,Southern Illinois,9,91,11,78,2,0.132,0,0,0,0,
Jim Weaver,1933,1974,Villanova,5,42,13,28,1,0.321,0,0,0,0,
Archie Webb,1905,1905,Baylor,1,7,1,6,0,0.143,0,0,0,0,
Bob Weber,1969,1984,Louisville,9,97,36,61,0,0.371,0,0,0,0,
Bill Weeks,1960,1967,New Mexico,8,82,40,41,1,0.494,1,1,0,0,1
Harrison Weeks,1903,1904,Beloit,2,18,10,7,1,0.583,0,0,0,0,
John Weinheimer,1944,1946,New York University,3,22,10,12,0,0.455,0,0,0,0,
Charlie Weis,2005,2014,Kansas,8,90,41,49,0,0.456,3,1,2,0,0.333
TJ Weist,2013,2016,South Florida,2,9,4,5,0,0.444,1,1,0,0,1
Gus Welch,1919,1922,Washington State,4,27,16,10,1,0.611,0,0,0,0,
Ralph Welch,1942,1947,Washington,5,45,23,19,3,0.544,0,0,0,0,
Matt Wells,2013,2019,Texas Tech,7,90,48,42,0,0.533,4,2,2,0,0.5
George Welsh,1973,2000,Virginia,28,325,189,132,4,0.588,15,5,10,0,0.333
Tommy West,1993,2009,Memphis,15,169,80,89,0,0.473,9,3,6,0,0.333
H.M. Wheaton,1914,1914,Kansas,1,8,5,2,1,0.688,0,0,0,0,
Neil Wheelwright,1968,1980,Holy Cross,13,135,61,72,2,0.459,0,0,0,0,
Charles Whelan,1903,1924,Boston University,5,48,14,33,1,0.302,0,0,0,0,
John Whelchel,1942,1943,Navy,2,18,13,5,0,0.722,0,0,0,0,
Mark Whipple,2014,2018,Massachusetts,5,60,16,44,0,0.267,0,0,0,0,
Berry Whitaker,1920,1922,Texas,3,26,22,3,1,0.865,0,0,0,0,
Arthur White,1902,1902,Boston College,1,8,0,7,1,0.063,0,0,0,0,
Harold White,1943,1945,Colorado College,3,24,14,9,1,0.604,0,0,0,0,
J.L. White,1920,1921,Wake Forest,2,19,4,15,0,0.211,0,0,0,0,
Mike White,1972,1987,Illinois,14,157,81,72,4,0.529,3,0,3,0,0
Wilbur White,1936,1936,Colorado Mines,1,8,2,6,0,0.25,0,0,0,0,
Mickey Whitehurst,1908,1908,North Carolina State,1,7,6,1,0,0.857,0,0,0,0,
George Whitney,1902,1904,Sewanee,3,22,14,8,0,0.636,0,0,0,0,
W.S. Whitney,1906,1907,Georgia,2,15,6,7,2,0.467,0,0,0,0,
Kyle Whittingham,2004,2019,Utah,16,195,131,64,0,0.672,14,11,3,0,0.786
Bill Whitton,1970,1970,Holy Cross,1,11,0,10,1,0.045,0,0,0,0,
Jennings Whitworth,1950,1957,Alabama,8,81,26,51,4,0.346,0,0,0,0,
Frank Wickhorst,1946,1946,California,1,9,2,7,0,0.222,0,0,0,0,
Carroll Widdoes,1944,1945,Ohio State,2,18,16,2,0,0.889,0,0,0,0,
Woody Widenhofer,1985,2001,Vanderbilt,9,99,27,71,1,0.278,0,0,0,0,
Tad Wieman,1927,1942,Princeton,7,57,29,24,4,0.544,0,0,0,0,
Paul Wiggin,1980,1983,Stanford,4,44,16,28,0,0.364,0,0,0,0,
John Wilce,1913,1928,Ohio State,16,120,78,33,9,0.688,1,0,1,0,0
Justin Wilcox,2017,2019,California,3,38,20,18,0,0.526,2,1,1,0,0.5
Bobby Wilder,2014,2019,Old Dominion,6,73,31,42,0,0.425,1,1,0,0,1
Harold Wilkes,1971,1972,Chattanooga,2,22,4,18,0,0.182,0,0,0,0,
Bud Wilkinson,1947,1963,Oklahoma,17,178,145,29,4,0.826,8,6,2,0,0.75
Sam Willaman,1922,1933,Ohio State,9,73,40,25,8,0.603,0,0,0,0,
A.L. Williams,1976,1977,Northwestern State,2,21,11,10,0,0.524,0,0,0,0,
Bob Williams,1906,1926,Clemson,6,46,21,19,6,0.522,0,0,0,0,
Bobby Williams,1999,2002,Michigan State,4,31,16,17,0,0.485,2,2,0,0,1
C.R. Williams,1903,1907,Virginia Tech,2,19,15,4,0,0.789,0,0,0,0,
Henry Williams,1891,1921,Minnesota,23,186,140,34,12,0.785,0,0,0,0,
J. Williams,1905,1906,Dickinson,2,17,7,8,2,0.471,0,0,0,0,
Jerry Williams,1955,1957,Montana,3,29,6,23,0,0.207,0,0,0,0,
Silas Williams,1920,1921,Chattanooga,2,18,7,10,1,0.417,0,0,0,0,
Ivy Williamson,1949,1955,Wisconsin,7,64,41,19,4,0.672,1,0,1,0,0
Richard Williamson,1975,1980,Memphis,6,66,31,35,0,0.47,0,0,0,0,
Tyrone Willingham,1995,2008,Washington,14,165,76,88,1,0.464,5,1,4,0,0.2
Ray Willsey,1964,1971,California,8,83,40,42,1,0.488,0,0,0,0,
Barry Wilson,1990,1993,Duke,4,44,13,30,1,0.307,0,0,0,0,
Ben Wilson,1969,1970,Wichita State,2,19,2,17,0,0.105,0,0,0,0,
Bert Wilson,1898,1902,Wesleyan (CT),5,49,26,21,2,0.551,0,0,0,0,
Frank Wilson,2016,2019,Texas-San Antonio,4,48,19,29,0,0.396,1,0,1,0,0
Kevin Wilson,2011,2016,Indiana,6,73,26,47,0,0.356,2,0,2,0,0
Red Wilson,1979,1982,Duke,4,44,16,27,1,0.375,0,0,0,0,
Tom Wilson,1978,1981,Texas A&M,4,40,21,19,0,0.525,2,2,0,0,1
Byron Wimberly,1923,1924,Washington (MO),2,16,7,9,0,0.438,0,0,0,0,
Edgar Wingard,1906,1906,Pittsburgh,1,10,6,4,0,0.6,0,0,0,0,
J.J. Winn,1923,1923,Kentucky,1,9,4,3,2,0.556,0,0,0,0,
Robert Winslow,1949,1951,Arizona,3,31,12,18,1,0.403,0,0,0,0,
Wallie Winter,1893,1893,Minnesota,1,6,6,0,0,1,0,0,0,0,
Carl Wise,1952,1953,Washington & Lee,2,20,7,13,0,0.35,0,0,0,0,
M.E. Witham,1906,1906,Purdue,1,5,0,5,0,0,0,0,0,0,
Myron Witham,1920,1931,Colorado,12,96,63,26,7,0.693,0,0,0,0,
Everett Withers,2011,2018,Texas State,4,48,14,34,0,0.292,1,0,1,0,0
Paul Withington,1916,1924,Columbia,2,16,9,5,2,0.625,0,0,0,0,
Dutch Witte,1933,1938,Wyoming,6,49,16,30,3,0.357,0,0,0,0,
Bernie Witucki,1953,1954,Tulsa,2,21,3,18,0,0.143,0,0,0,0,
Raymond Wolf,1936,1953,Tulane,13,126,64,55,7,0.536,0,0,0,0,
Alex Wood,2014,2014,Buffalo,1,4,2,2,0,0.5,0,0,0,0,
Jim Wood,1968,1972,New Mexico State,5,52,21,30,1,0.413,0,0,0,0,
Joseph Wood,1914,1914,Virginia,1,9,8,1,0,0.889,0,0,0,0,
William Wood,1938,1940,Army,3,28,12,13,3,0.482,0,0,0,0,
Woody Woodard,1957,1959,Wichita State,3,30,10,18,2,0.367,0,0,0,0,
Bob Woodruff,1947,1959,Florida,13,132,72,52,8,0.576,3,2,1,0,0.667
George Woodruff,1892,1927,Georgia,17,216,172,41,3,0.803,0,0,0,0,
Jeff Woodruff,2000,2003,Eastern Michigan,4,46,11,35,0,0.239,0,0,0,0,
Chris Woods,2018,2018,Texas State,1,1,0,1,0,0,0,0,0,0,
Sparky Woods,1989,1993,South Carolina,5,55,24,28,3,0.464,0,0,0,0,
Warren Woodson,1941,1967,New Mexico State,23,240,147,82,11,0.635,7,6,1,0,0.857
Chalmer Woodward,1953,1956,Southern Methodist,4,40,19,20,1,0.488,0,0,0,0,
Mike Working,1980,1981,Appalachian State,2,22,9,11,2,0.455,0,0,0,0,
C. Noel Workman,1928,1930,Iowa State,3,25,3,21,1,0.14,0,0,0,0,
Lud Wray,1930,1930,Pennsylvania,1,9,5,4,0,0.556,0,0,0,0,
Brian Wright,2013,2013,Florida Atlantic,1,4,4,0,0,1,0,0,0,0,
Hoover Wright,1977,1977,Prairie View A&M,1,11,3,8,0,0.273,0,0,0,0,
Jim Wright,1974,1978,Wichita State,5,55,17,37,1,0.318,0,0,0,0,
Paul Wright,1935,1937,Western State,3,22,7,15,0,0.318,0,0,0,0,
Paul Wulff,2008,2011,Washington State,4,49,9,40,0,0.184,0,0,0,0,
Bowden Wyatt,1947,1962,Tennessee,16,160,99,56,5,0.634,4,2,2,0,0.5
Sam Wyche,1983,1983,Indiana,1,11,3,8,0,0.273,0,0,0,0,
C.A. Wynne,1934,1937,Kentucky,4,39,20,19,0,0.513,0,0,0,0,
Chet Wynne,1930,1933,Auburn,4,39,22,15,2,0.59,0,0,0,0,
Kemper Yancey,1911,1911,Virginia,1,10,8,2,0,0.8,0,0,0,0,
Jim Yeager,1937,1947,Colorado,9,79,40,36,3,0.525,0,0,0,0,
Bill Yeoman,1962,1986,Houston,25,276,160,108,8,0.594,11,6,4,1,0.591
Fielding Yost,1901,1926,Michigan,25,204,165,29,10,0.833,1,1,0,0,1
Bill Young,1896,1896,Bucknell,1,8,5,2,1,0.688,0,0,0,0,
Jim Young,1973,1990,Army,17,193,120,71,2,0.627,6,5,1,0,0.833
Lou Young,1923,1929,Pennsylvania,7,66,49,15,2,0.758,0,0,0,0,
Ralph Young,1925,1927,Michigan State,3,25,10,14,1,0.42,0,0,0,0,
Tom Young,1943,1943,North Carolina,1,9,6,3,0,0.667,0,0,0,0,
William Young,1950,1953,Furman,4,40,18,19,3,0.488,0,0,0,0,
Monk Younger,1923,1931,Davidson,9,89,44,38,7,0.534,0,0,0,0,
John Yovicsin,1957,1970,Harvard,14,125,78,42,5,0.644,0,0,0,0,
Joseph Yukica,1968,1981,Dartmouth,14,143,88,54,1,0.619,0,0,0,0,
Bill Yung,1977,1985,Texas-El Paso,8,90,26,62,2,0.3,0,0,0,0,
Stan Zajdel,1960,1962,Dayton,3,30,5,25,0,0.167,0,0,0,0,
Ed Zaunbrecher,1994,1998,Louisiana-Monroe,5,56,20,36,0,0.357,0,0,0,0,
Fred Zechman,1983,1985,New Mexico State,3,33,8,25,0,0.242,0,0,0,0,
Zimmie Zimoski,1924,1924,Millsaps,1,9,3,5,1,0.389,0,0,0,0,
G.G. Zitrides,1950,1950,Brown,1,9,1,8,0,0.111,0,0,0,0,
Ron Zook,2002,2011,Illinois,10,122,57,65,0,0.467,4,1,3,0,0.25
Robert Zuppke,1913,1941,Illinois,29,224,131,81,12,0.612,0,0,0,0,
